company name,category,based in,tags,total funding,founded,website,company status
Soulbottles,Germany,Berin,"Social Impact, Sustainability, CleanTech, Soulbottles, Berlin",,2012,https://www.soulbottles.de,
Soulcareai,Portugal,Lisbon,"AI, Mental Health, Saas, App",No funding announced yet,2023,www.soulcareai.com,Active
Soulpicks,Netherlands,Amsterdam,"Social Media, Places, Experiences, Soulpicks, Amsterdam",,2018,https://soulpicks.com,
Soulside,Germany,Berlin,"Apps, Art, Communities, Content, Digital Entertainment, Mobile Apps, Social Media, Social Network",No funding announced yet,2017,https://soulside.app/,
Sound Particles,Portugal,Leiria,"Music Tech, Audio Post Production, Sound Platform",,2016,www.soundparticles.com,
Soundboks,Denmark,Copenhagen,"Battery, Consumer Electronics, Electronics, Manufacturing",Between €10 million-€25 million,2015,https://soundboks.com/,
Soundcell,Netherlands,Delft,"Health, IoT",Above €25 million,2022,https://soundcell.nl/,Active
Soundcharts,France,Paris,"Music Tech, Market Intelligence, Big Data, Radio",,2015,www.soundcharts.com,
Soundcloud,Germany,Berlin,"MusicTech, Audio Platform, Social Media",,2008,http://www.soundcloud.com,
Soundclub,UK,London,"Concerts, Event Promotion, Music, Music Venues, Nightclubs, Nightlife, Social Network",Between €100K-€500K,2020,https://www.soundclub.com/,
Sounders Music,Netherlands,"Rotterdam, Netherlands","artists, musicians,label manager, fan, music enthusiasts",No funding announced yet,2019,https://www.soundersmusic.com/,
Soundjam,UK,Brighton,"music, website builder, DJ, eCommerce",,2019,https://www.soundjam.co/,
Soundly,UK,London,"e-marketplace, Blockchain, Artificial Intelligence.",No funding announced yet,2020,https://soundly.art/,
Soundmix,Ireland,Dublin,"hybrid events, virtual, live video streaming, ticketing, payment",No funding announced yet,2021,https://eventmix.live/,
Soundplate Clicks,UK,London,"Marketing, Music, Gig",,2018,https://click.soundplate.com,
Soundreef,Italy,Milano,"Music, Publishing, Transparency",Between €10 million-€25 million,2015,https://www.soundreef.com/,
Sounds Market,Spain,Barcelona,"Apps, Music",No funding announced yet,2018,https://soundsmarket.com/,
Soundsofthings,Italy,Merano,"Social Media, Audio, Social Media Advertising",No funding announced yet,2017,https://www.soundsofthings.com/,
Soundtrack Your Brand,Sweden,Stockholm,"Music Tech, Music Platform, Social Network",,2013,www.soundtrackyourbrand.com,
Soundtracktor,Denmark,Dragør,"AI, content management, music composers",,2019,https://www.soundtracktor.com,
Soundtrap,Sweden,Stockholm,"MusicTech, Sound Recording, Podcast Creation",,2012,www.soundtrap.com,
Soundwaves App,Romania,Bucharest,"music, social network, augmented reality music, soundwaves",No funding announced yet,2021,https://getsoundwaves.com,
Soundwheel,Denmark,Copenhagen,Health,Between €100K-€500K,2021,https://www.soundwheel.com/da/download-app,Active
Soundwiseai,UK,London,AI Video and Audio Transcription,Between €1-€100K,2023,https://soundwise.ai/,Active
