country,company_name,city,funding_amount,industry_tags,start_year,status,website,country_code
Finland,-BRÄNDÖVIK NÄTFABRIK OHLS & OHLS KOMMANDITBOLAG KONKURSBO,,,,,,,
Finland,-tf-STORE,,,,,,,
Finland,...'tanssi jatkuu'... Pelastakaa Ballerinat ry,,,,2015.0,,,
Finland,.UUROJEN TUKI R.Y.,,,,1978.0,,,
Finland,0&K Design Ky,,,,,,,
Finland,0-koodi Oy,HELSINKI,,,2017.0,,,
Finland,0.7 design,,,,2007.0,,,
Finland,0.7 design Oy,KEMIÖ,,,2014.0,,,
Finland,007 Kuljetus Oy,RAJAMÄKI,,,2003.0,,,
Finland,007Services Oy,SÄKYLÄ,,,2017.0,,,
Finland,007goldenNet,,,,2001.0,,,
Finland,009 Investment Oy,HÄMEENLINNA,,,2017.0,,,
France, HT NOUS ,PARIS 13,,,2003.0,,,
France, PRAGMAGICIELS,PERIGUEUX,,,2012.0,,,
France,TAMBOURS,VOIRON,,,2018.0,,,
France,FactureStar,Bordeaux,,,2025.0,,,
