name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
"""ICO-KOMERC"" D.O.O. U LIKVIDACIJI",03565467,hr,,,,,MIKULJA  21,,Novi,51250,Croatia,Croatia,
"""INSTITUT ZA INDUSTRIJSKI RAZVOJ""",04401468,hr,,,,,Horvaćanska cesta 174,,Zagreb,10000,Croatia,Croatia,
"""IRENET""",04411706,hr,,,,,Hrvatskih iseljenika 1,,Zagreb,10000,Croatia,Croatia,
"""KAŠTELINA"" KAŠIĆ",04442482,hr,,,,,Kašić 43,,Kašić,22213,Croatia,Croatia,
"""KOPRIVICE SENJ""",02956888,hr,,,,,Juriše Orlovića 1,,Senj,53270,Croatia,Croatia,
"""KRASNICA"" BAKARAC",04339720,hr,,,,,Bakarac 32,,Bakarac,51261,Croatia,Croatia,
"""KRISTOV STOL"" MISIJSKA EUROPSKA INICIJATIVA",02647478,hr,,,,,Savski Gaj III 8 /A,,Zagreb,10000,Croatia,Croatia,
"""KRTEK""",04411820,hr,,,,,Stjepana Draganića 3,,Zagreb,10000,Croatia,Croatia,
"""KUĆA SUNCA""",04416848,hr,,,,,Blaguška 93,,Kašina,10362,Croatia,Croatia,
"""LAMPICA""",01859013,hr,,,,,Miroslava Krleže 26,,Split,21000,Croatia,Croatia,
"""M T A""",03664953,hr,,,,,PRVE PROLETERSKE 46,,Trilj,21240,Croatia,Croatia,
"""MALONOGOMETNI KLUB VODNJAN""",04382625,hr,,,,,Forno Grande 11,,Vodnjan,52215,Croatia,Croatia,
"""MARICOOP"" d.o.o. u likvidaciji",03699684,hr,,,,,A.BENUSSIJA   4,,Rijeka-dio,51000,Croatia,Croatia,
"""MEDICINSKA KONOPLJA,""",04413750,hr,,,,,Lojenov prilaz 2,,Zagreb,10000,Croatia,Croatia,
"""MLADI OPĆINE BRDOVEC""",04451236,hr,,,,,Matije Gupca 32,,Brdovec,10291,Croatia,Croatia,
"""NENO"" D.O.O. U LIKVIDACIJI",03685497,hr,,,,,Puntižela 84,,Pula,52100,Croatia,Croatia,
"""NOW EAST"" d.o.o. u likvidaciji",03690113,hr,,,,,Ližnjan 329,,Ližnjan,52203,Croatia,Croatia,
"""PAG-STARE UŽANCE""",04406818,hr,,,,,Metajna 116 A,,Metajna,53296,Croatia,Croatia,
"""PISCI TEATAR FILM""",04410238,hr,,,,,Pavla Hatza 11,,Zagreb,10000,Croatia,Croatia,
"""POKRETOM DO CILJA""",04413598,hr,,,,,Horvaćanska 162,,Zagreb,10000,Croatia,Croatia,
"""Patriot""",04433602,hr,,,,,Stjepana Radića 2 b,,Dervišaga,34000,Croatia,Croatia,
"""RITAM ŽIVOTA"" SISAK",04442245,hr,,,,,Ante Starčevića 1 A,,Sisak,44000,Croatia,Croatia,
"""SINJSKA ALKA""",04436016,hr,,,,,Dragašev prolaz 24,,Sinj,21230,Croatia,Croatia,
"""SPORTART""",01920162,hr,,,,,Mate Balote 63,,Rijeka-dio,51000,Croatia,Croatia,
"""Sveti Vid""",04454073,hr,,,,,Vodovađa  bb,,Vodovađa,20216,Croatia,Croatia,
""" L.I.T.A.T."" HOLDING CO LIMITED",HE159256,cy,2005-04-04,Limited Company,,False,"Μάξιμου Μιχαηλίδη, 6,
MAXIMOS PLAZA, TOWER 3, Floor 1, Flat/Office 101
3106, Λεμεσός, Κύπρος",,,,Cyprus,Cyprus,2005.0
""" OH YES"" SNACKS LIMITED",HE123357,cy,2001-08-28,Limited Company,,False,"Μακεδονίας, 39,
Αγ. Ιωάννης
3070, Λεμεσός, Κύπρος",,,,Cyprus,Cyprus,2001.0
""" SURE IN "" INSURANCE AGENTS AND CONSULTANTS LTD",HE107848,cy,1999-12-31,Limited Company,,False,"Ικονίου, 12Α,
Floor 1, Flat/Office 101
Στρόβολος
2029, Λευκωσία, Κύπρος",,,,Cyprus,Cyprus,1999.0
""" THEODORA"" SERVICES LIMITED",HE236961,cy,2008-08-28,Limited Company,,True,"Νεφέλης, 3,
Στρόβολος
2058, Λευκωσία, Κύπρος",,,,Cyprus,Cyprus,2008.0
""" TOP TABLE "" RESTAURANTS LIMITED",HE114784,cy,2000-09-26,Limited Company,,True,"Κέννετυ, 12-14,
KENNEDY BUSINESS CENTRE, Floor 6, Flat/Office 601
1087, Λευκωσία, Κύπρος",,,,Cyprus,Cyprus,2000.0
""" ΧΑΡΤΟΒΑΣΙΛΕΙΟ "" ΛΙΜΙΤΕΔ",HE132897,cy,2002-09-12,Limited Company,,True,"Μαρίας Συγκλητικής, 24,
8010, Πάφος, Κύπρος",,,,Cyprus,Cyprus,2002.0
"""A & K PAPADOPOULLOS LEATHER AND SHOE SUPPLIERS LIMITED""",HE16685,cy,1981-12-21,Limited Company,,True,"Σούτσου, 2,
Λευκωσία, Κύπρος",,,,Cyprus,Cyprus,1981.0
"""A"" SPINE INVESTMENTS LIMITED",HE279810,cy,2010-12-31,Limited Company,,False,"Μυκηνών, 10,
Floor 4, Flat/Office 41
1065, Λευκωσία, Κύπρος",,,,Cyprus,Cyprus,2010.0
